name,country,county,longitude,latitude
"Namanga Border Point","Kenya","Kajiado County",36.7833,-2.5500
"Busia Border Point","Kenya","Busia County",34.1667,0.4667
"Malaba Border Point","Kenya","Busia County",34.2833,0.6333
"Isebania Border Point","Kenya","Migori County",34.4667,-1.2167
"Lunga Lunga Border Point","Kenya","Kwale County",39.2167,-4.5500
